Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
42,40,6,6,37,35,26
55,62,6,5,49,57,14
35,32,6,6,30,27,13
45,45,6,6,40,40,10
46,47,5,6,41,42,15
32,27,6,5,27,21,12
44,42,5,5,39,37,25
39,38,5,5,34,33,2
54,52,5,6,48,47,11
52,52,5,5,47,47,35
50,52,5,5,45,47,2
43,42,6,5,38,36,9
73,74,6,7,67,68,13
29,28,5,6,24,23,26
41,48,6,6,36,43,1
58,55,6,6,53,49,31
33,34,6,6,28,29,2
29,29,6,5,24,24,5
48,45,5,5,42,39,24
34,33,6,6,28,28,10
40,32,6,5,34,27,10
36,37,6,5,31,32,10
34,35,5,6,29,30,10
70,71,6,6,64,65,34
34,34,6,6,29,28,5
45,44,6,5,40,39,2
40,39,6,5,35,34,2
39,41,5,6,34,36,16
45,46,6,5,40,41,6
34,35,5,6,29,30,5
60,60,5,5,55,55,5
29,27,6,5,24,22,5
41,39,5,5,36,34,31
58,58,5,6,53,53,5
43,42,6,5,38,37,5
68,74,6,7,62,68,38
42,43,5,5,37,38,34
29,30,5,6,24,25,17
39,37,6,5,34,32,12
35,35,5,5,29,30,17
33,34,5,6,27,28,2
31,32,6,6,26,27,7
56,58,5,6,51,53,17
29,30,5,6,24,25,5
41,37,5,5,36,31,18
37,39,5,6,32,34,5
60,55,6,5,55,50,18
53,55,5,6,47,49,12
32,32,6,5,27,27,4
40,41,5,6,35,36,1
136,143,12,13,125,131,9
34,35,5,6,29,30,2
29,28,6,5,24,23,21
32,39,5,6,26,34,33
46,46,5,5,41,41,2
56,56,6,6,50,51,30
54,56,5,5,49,51,12
30,32,5,6,25,27,36
36,36,6,6,31,31,1
63,59,5,6,58,54,26
43,39,6,5,38,33,25
68,61,7,5,62,56,18
50,50,6,6,45,45,12
46,46,5,5,41,41,4
99,111,8,10,91,102,33
49,47,6,6,43,41,31
45,42,5,6,40,36,20
42,43,6,5,37,38,38
36,36,5,5,31,31,14
79,77,7,7,72,71,1
39,40,6,6,34,35,4
42,42,6,6,36,37,36
49,48,5,5,44,43,7
33,30,5,5,28,25,13
76,74,6,7,70,68,13
29,29,6,6,24,24,4
50,49,6,6,45,44,4
106,93,10,8,96,85,11
60,55,6,5,55,50,13
178,176,15,15,162,160,12
34,34,5,5,29,29,10
48,48,5,5,43,43,3
95,111,9,10,87,102,15
43,43,5,6,38,38,28
42,42,5,6,36,36,9
51,50,5,5,45,44,2
43,40,5,6,37,35,13
53,52,6,5,48,47,15
43,42,6,5,38,37,3
35,37,5,6,30,32,3
45,45,5,5,39,39,38
48,43,5,5,42,38,26
46,47,5,6,41,42,4
43,45,6,6,38,40,40
62,61,5,5,57,56,25
46,50,6,5,41,44,13
28,28,5,5,23,23,9
60,63,5,6,55,58,2
72,69,6,7,66,63,25
42,40,5,5,37,35,28
31,31,5,6,25,26,38
72,68,7,7,66,62,27
47,47,6,5,42,41,4
55,57,5,6,50,52,7
44,43,6,5,39,38,1
58,56,5,6,53,51,20
31,31,5,5,26,26,4
68,68,7,7,62,62,3
43,45,5,5,38,40,10
61,59,6,6,56,54,22
69,68,7,7,63,62,3
32,35,5,6,26,29,38
58,59,6,6,53,54,9
37,37,6,6,32,32,10
33,34,5,6,28,29,15
42,47,5,6,37,42,38
29,29,6,5,24,24,34
34,34,6,6,28,28,7
38,38,6,6,33,33,1
36,37,5,6,31,32,5
75,83,7,8,69,76,4
57,55,6,5,52,49,1
35,34,6,5,29,28,1
62,57,5,6,56,51,26
35,36,5,6,29,30,37
28,30,5,6,23,25,2
32,32,6,6,27,27,17
84,79,7,7,77,72,29
50,50,6,6,45,45,13
42,44,5,5,37,39,38
39,41,5,6,33,36,17
70,61,6,6,64,55,25
46,41,6,5,41,36,11
34,35,5,5,29,30,4
55,60,6,5,50,55,13
40,39,6,6,34,34,22
40,39,6,5,35,34,4
82,81,8,7,75,74,16
34,34,6,6,29,29,4
41,42,5,5,36,37,3
32,32,6,6,27,27,38
38,38,5,5,33,33,12
41,38,6,6,35,32,18
34,32,6,6,29,26,12
106,97,9,9,97,89,28
76,85,7,7,70,78,14
38,35,6,6,33,30,31
28,28,5,5,23,23,33
36,36,6,6,31,30,5
40,41,5,5,35,36,17
98,101,9,9,90,93,12
39,40,5,6,34,35,16
29,30,6,5,23,24,35
54,53,6,5,49,48,15
37,37,6,6,32,32,38
40,41,5,6,35,36,10
115,111,10,10,105,102,4
42,41,6,5,37,36,39
30,30,5,6,25,25,38
52,53,5,5,47,48,3
33,35,6,6,28,29,4
60,63,5,5,55,58,13
40,41,5,6,35,36,13
35,36,6,6,30,30,12
45,41,6,6,40,36,18
53,54,5,6,48,49,5
68,68,6,6,62,62,41
51,52,5,5,46,47,0
97,96,9,9,89,88,14
50,59,6,6,44,54,14
60,63,5,5,55,58,3
60,61,5,6,55,56,1
98,93,9,9,90,85,40
43,43,6,6,38,38,4
40,41,5,5,34,35,10
31,31,5,5,25,26,4
56,55,6,5,51,50,10
41,39,5,6,36,34,24
